HMGB3	XL
PCLO	AR
ARHGAP31	AD
DOCK6	AR
RBPJ	AD
EOGT	AR
NOTCH1	AD
DLL4	AD
ERCC6	AR
ERCC2	AR
ERCC5	AR
ERCC1	AR
NSDHL	XLR
MEIS2	AD
VPS13B	AR
CKAP2L	AR
KIF1BP	AR
KIAA1279	AR
DKC1	XLR
PLEKHG2	AR
COX7B	XLD
EFTUD2	AD
ZBTB18	AD
TRIO	AD
DYRK1A	AD
TRAPPC9	AR
SLC9A6	XLD
BUB1B	AR
CEP57	AR
PHGDH	AR
PRUNE1	AR
PRUNE	AR
ARFGEF2	AR
TSEN54	AR
EXOSC3	AR
OCLN	AR
USP18	AR
PQBP1	XLR
FOXG1	AD
CREBBP	AD
EP300	AD
NHEJ1	AD
CRIPT	AR
XRCC4	AR
ARCN1	AD
CENPF	AR
GTF2E2	AR
RAB3GAP1	AR
RAB3GAP2	AR
RAB18	AR
TBC1D20	AR
