ACAN
ACP5
ACVR1
ADAMTS10
ADAMTS17
ADAMTSL2
AGA
AGPS
AKT1
ALPL
ALX1
ALX3
ALX4
AMER1
ANKH
ANO5
ANTXR2
ARHGAP31
ARSB
ARSE
ATP6V0A2
B3GALT6
B4GALT7
BHLHA9
BMP1
BMP2
BMPER
BMPR1B
BRCA2
BRIP1
CA2
CANT1
CASR
CC2D2A
CCDC8
CDC6
CDH3
CDKN1C
CDT1
CEP290
CHST14
CHST3
CHSY1
CKAP2L
CLCN5
CLCN7
COG1
COL10A1
COL11A1
COL11A2
COL1A1
COL1A2
COL2A1
COL9A1
COL9A2
COL9A3
COMP
CREB3L1
CREBBP
CRTAP
CTSA
CTSK
CUL7
DDR2
DHCR24
DHODH
DLL3
DLX3
DLX5
DLX6
DMP1
DOCK6
DVL1
DYM
DYNC2H1
EBP
EFNB1
EFTUD2
EIF2AK3
ENPP1
EOGT
EP300
ERCC4
ERF
ESCO2
EVC
EVC2
EXT1
EXT2
EZH2
FAAP95
FAM111A
FAM20C
FAM58A
FANCA
FANCC
FANCD2
FANCE
FANCF
FANCI
FANCL
FBLN1
FBN1
FBN2
FERMT3
FGF10
FGF16
FGF23
FGF9
FGFR1
FGFR2
FGFR3
FIG4
FKBP10
FLNA
FLNB
FMN1
FUCA1
FZD2
GALNS
GALNT3
GDF3
GDF5
GDF6
GJA1
GLB1
GLI3
GNAS
GNPAT
GNPTAB
GNPTG
GNS
GORAB
GPC6
GPX4
GREM1
GUSB
HDAC4
HDAC8
HES7
HGSNAT
HOXA11
HOXA13
HOXD13
HPGD
HSPG2
ICK
IDH1
IDH2
IDS
IDUA
IFITM5
IFT122
IFT140
IFT172
IFT43
IFT80
IHH
IKBKG
IL1RN
IMPAD1
INPPL1
KAT6B
KIF22
KIF7
LBR
LEMD3
LFNG
LIFR
LMBR1
LMNA
LMX1B
LONP1
LPIN2
LRP4
LRP5
LTBP2
MAD2L2
MAFB
MAN2B1
MAN2C1
MATN3
MEGF8
MEOX1
MESP2
MGP
MKS1
MMP13
MMP2
MMP9
MNX1
MSX2
MYCN
NAGLU
NEK1
NEU1
NF1
NFIX
NIPBL
NKX3-2
NLRP3
NOG
NOTCH2
NPPC
NPR2
NSD1
NSDHL
OBSL1
OFD1
ORC1
ORC4
ORC6
OSTM1
P3H1
P4HB
PALB2
PAM16
PAPSS2
PCNT
PCYT1A
PDE3A
PDE4D
PEX7
PHEX
PIGV
PIK3CA
PITX1
PLEKHM1
PLOD2
PLS3
POLR1C
POLR1D
POP1
POR
PPIB
PRKAR1A
PTDSS1
PTHLH
PTHR1
PTPN11
PYCR1
RAB23
RAB33B
