ABCC9
ADAM15
AFF4
AGGF1
AHI1
AIRE
AKT3
ALDH18A1
ANKRD11
AP2S1
ARF1
ARID1A
ARID1B
ARL13B
ASPN 
ATP7A
ATR
ATRIP
B3GAT3
B9D1
B9D2
BANF1
BMND7
BMND8
BMP5
BTRC
C19orf49
C2CD3
C5orf42
CALCR
CCT5
CD96
CENPJ
CEP120
CEP152
CEP164
CEP41
CHEK2
CHST10
CHST11
CHST12
CLUAP1
COL24A1
COLEC11
COX4I2
CREB3
CREB3L2 
CSGALNACT1
CSPP1
CTC1
CTSO
CYP26B1
CYP27B1
CYP2R1
DDX59
DHCR7
DKK1
DOK7
DVL3
DYNC2LI1
DYNLL1
DYNLL2
DYNLRB1
DYNLRB2
DYNLT1
DYNLT3
ECEL1
EFEMP2
ERCC3
ERG
ETV1
ETV4
ETV6
EWSR1
FAM111B
FANCB
FANCG
FANCM
FAR1
FBLN5
FBXW4
FBXW8
FKBP14
FLI1
FOS
FRAS1
FREM1
FREM2
FRZB
GDF7
GLE1
GNA11
GPC3
GPC4
GRIP1
GSC
HDAC6
HMGA2
HNRNPA1
HNRNPA2B1
HOXA1
HOXB1
HOXC6
HOXD4
HRAS
HSPB11
HYAL1
IARS2
IFT20
IFT27
IFT46
IFT52
IFT57
IFT74
IFT81
IFT88
IL11RA
INPP5E
IPO5
JAG1
KIAA0586
KIF3A
KIF3B
KIFAP3
LARP7
LRP6
LTBP3
LTBP4
MAB21L2
MANBA
MATN1
MBOAT1
MBTPS2
MED12
MEF2C
MIPOL1
MIR17HG
MMP14
MTAP
MUSK
MYBPC1
MYH3
MYH8
MYO18B
NANS
NEK9
NIN
NLRP12
NPHP1
NPHP3
NPPB
NPR3
NTRK3
PAPPA2
PAX1
PAX3
PDB4
PDE6D
PDGFRB
PEX1
PEX10
PEX11B
PEX12
PEX13
PEX14
PEX16
PEX19
PEX2
PEX26
PEX3
PEX5
PEX6
PGAP2
PGM3
PHGDH
PI4KA
PIEZO2
PIGO
PIK3R2
PLOD1
POC1A
POC1B
PORCN
PRG4
PSAT1
PTCH1
PTCH2
PTEN
PTH1R
PVRL4
RAF1
RAI1
RAPSN
RASA1
RBBP8
RIL
RIN2
RIPPLY2
RIT1
RPGRIP1
RPS6KA3
SC5DL
SCLT1
SEC23A
SETBP1
SHFM1
SLC17A2
SLC34A1
SLC35A3
SLC9A3R1
SLCO2A1
SMARCA2
SMARCA4
SMARCB1
SMARCE1
SOS1
SOX2
SPARC
SQSTM1
SRCAP
SUFU
T
TAPT1
TBC1D32
TCF4
TCTEX1D2
TCTEX1D4
TCTN1
TCTN2
TGFB3
THRA
THRB
TKT
TMCO1
TMEM107
TMEM138
TMEM165
TMEM231
TMEM237
TNNI2
TNNT3
TPM2
TRAF3IP1
TTC26
TUBA1C
TUBB4B
UBA1
UFSP2
VCP
VDR
VIPAS39
VPS33B
WDPCP
WDR60
WNT10A
WNT3A
ZBTB16
ZEB2
ZNF141
ZNF335
ZNF423
ZNF687
